url,title
https://english.elpais.com/usa/elections/2024-08-23/kamala-harris-calls-for-unity-to-stop-trump-as-she-accepts-nomination.html,Kamala Harris calls for unity to stop Trump as she accepts nomination
https://english.elpais.com/usa/elections/2024-08-23/the-latino-influencers-who-addressed-the-democratic-national-convention-and-what-they-said-about-voting.html,The Latino influencers who addressed the Democratic National Convention (and what they said about voting)
https://english.elpais.com/usa/elections/2024-08-23/democratic-national-convention-braids-small-penises-and-democracy.html,"Democratic National Convention: Braids, small penises and democracy"
https://english.elpais.com/international/2024-08-23/mike-lynch-the-rise-and-fall-of-the-british-bill-gates.html,Mike Lynch: The rise and fall of the ‘British Bill Gates’  
https://english.elpais.com/culture/2024-08-23/five-thousand-years-of-history-buried-in-the-undergrowth.html,Five thousand years of history buried in the undergrowth  
https://english.elpais.com/international/2024-08-23/clue-or-coincidence-the-hamas-series-about-a-major-surprise-attack-on-israel.html,Clue or coincidence? The Hamas series about a major surprise attack on Israel 
https://english.elpais.com/international/2024-08-23/venezuelas-supreme-court-a-tribunal-that-dispenses-justice-tailored-to-nicolas-maduros-needs.html,"Venezuela’s Supreme Court, a tribunal that dispenses justice tailored to Nicolás Maduro’s needs"
https://english.elpais.com/international/2024-08-23/polio-hepatitis-meningitis-gazas-humanitarian-disaster-takes-the-form-of-disease.html,"Polio, hepatitis, meningitis: Gaza’s humanitarian disaster takes the form of disease "
https://english.elpais.com/usa/2024-08-23/having-a-deported-family-member-affects-the-mental-health-of-latino-adolescents.html,Having a deported family member affects the mental health of Latino adolescents
https://english.elpais.com/health/2024-08-21/why-is-mpox-being-transmitted-mainly-between-children.html,Why is mpox being transmitted mainly between children?  
https://english.elpais.com/international/2024-08-23/taliban-enacts-law-banning-womens-voices-in-public-spaces-in-afghanistan.html,Taliban enacts law banning women’s voices in public spaces in Afghanistan
https://english.elpais.com/science-tech/2024-08-22/dolphins-are-no-longer-helping-out-fishers.html,Dolphins are no longer helping out fishers
https://english.elpais.com/sports/2024-08-22/ben-ainslie-skipper-of-ineos-britannia-ive-lost-too-many-friends-to-the-sea-i-have-a-very-healthy-respect-for-it.html,"Ben Ainslie, skipper of INEOS Britannia: ‘I’ve lost too many friends to the sea. I have a very healthy respect for it’"
